I lose.|I lost.
We're move.|We're moving.
We're pay.|We're paying.
We're ruin.|We're ruined.
We're try.|We're trying.
What be love?|What is love?
What be that?|What is that?
What be thbe?|What is this?
Where be she?|Where is she?
Who be they?|Who are they?
Who do this?|Who did this?
Who have come?|Who has come?
Who want it?|Who wants it?
Who be here?|Who was here?
Who's come?|Who's coming?
Years pass.|Years passed.
You be good.|You are good.
You be late.|You are late.
You be rich.|You are rich.
You do this.|You did this.
You promise.|You promised.
You be shy.|You were shy.
You're fire.|You're fired.
You're lie!|You're lying!
You're lie.|You're lying.
You've try.|You've tried.
A car go by.|A car went by.
Am I dream?|Am I dreaming?
Am I include?|Am I included?
Are you bore?|Are you bored?
Are you tire?|Are you tired?
Cats be cute.|Cats are cute.
Crime be down.|Crime is down.
He cheat me.|He cheated me.
He crack up.|He cracked up.
He drop it.|He dropped it.
He fool her.|He fooled her.
He get caught.|He got caught.
He have a book.|He has a book.
He have a cold.|He has a cold.
He have a maid.|He has a maid.
He have braces.|He has braces.
He hug her.|He hugged her.
He ignore me.|He ignored me.
He be Britbeh.|He is British.
He be Englbeh.|He is English.
He be a thief.|He is a thief.
He be foolbeh.|He is foolish.
He be my boss.|He is my boss.
He be my type!|He is my type!
He be no fool.|He is no fool.
He be out now.|He is out now.
He be reading.|He is reading.
He be running.|He is running.
He be skating.|He is skating.
He be too old.|He is too old.
He kill him.|He killed him.
He lie to me.|He lied to me.
He like that.|He liked that.
He make me go.|He made me go.
He pinch me!|He pinched me!
He seem kind.|He seems kind.
He sell cars.|He sells cars.
He touch me.|He touched me.
He want more.|He wants more.
He be crying.|He was crying.
He be stoned.|He was stoned.
He go blind.|He went blind.
He's addict.|He's addicted.
He's annoy.|He's annoying.
He's outrage.|He's outraged.
He's study.|He's studying.
Here he come.|Here he comes.
His nose bleed.|His nose bled.
How big be he?|How big is he?
How big be it?|How big is it?
How old be he?|How old is he?
How thrill!|How thrilling!
I be American.|I am American.
I be Japanese.|I am Japanese.
I be a Muslim.|I am a Muslim.
I be a runner.|I am a runner.
I be all ears.|I am all ears.
I be diabetic.|I am diabetic.
I be divorced.|I am divorced.
I be in Paris.|I am in Paris.
I be new here.|I am new here.
I be not deaf.|I am not deaf.
I be so sorry.|I am so sorry.
I be very sad.|I am very sad.
I become rich.|I became rich.
I borrow it.|I borrowed it.
I burn them.|I burned them.
I call home.|I called home.
I call them.|I called them.
I cancel it.|I canceled it.
I cause this.|I caused this.
I contribute.|I contributed.
I cry a lot.|I cried a lot.
I deserve it.|I deserved it.
I design it.|I designed it.
I do it once.|I did it once.
I do my best.|I did my best.
I do my part.|I did my part.
I do nothing.|I did nothing.
I do see him.|I did see him.
I don't call.|I didn't call.
I don't care.|I didn't care.
I don't know.|I didn't know.
I don't look.|I didn't look.
I don't move.|I didn't move.
I don't stop.|I didn't stop.
I don't vote.|I didn't vote.
I don't walk.|I didn't walk.
I felt scar.|I felt scared.
I finish it.|I finished it.
I freak out.|I freaked out.
I get a bonus.|I got a bonus.
I get it free.|I got it free.
I get married.|I got married.
I get nothing.|I got nothing.
I get scammed.|I got scammed.
I get thirsty.|I got thirsty.
I have an idea.|I had an idea.
I have no clue.|I had no clue.
I have no idea.|I had no idea.
I have to stay.|I had to stay.
I have to stop.|I had to stop.
I have to work.|I had to work.
I hate fly.|I hate flying.
I hate lose.|I hate losing.
I hate move.|I hate moving.
I have fail.|I have failed.
I have have it.|I have had it.
I ignore him.|I ignored him.
I just do it.|I just did it.
I just get up.|I just got up.
I just smile.|I just smiled.
I look away.|I looked away.
I look down.|I looked down.
I lose my dog.|I lost my dog.
I lose my key.|I lost my key.
I love hike.|I love hiking.
I make a deal.|I made a deal.
I make a list.|I made a list.
I make coffee.|I made coffee.
I make dinner.|I made dinner.
I make him go.|I made him go.
I nearly die.|I nearly died.
I need help.|I needed help.
I reschedule.|I rescheduled.
I rescue her.|I rescued her.
I rescue him.|I rescued him.
I rescue you.|I rescued you.
I say thanks.|I said thanks.
I slap him.|I slapped him.
I take a bath.|I took a bath.
I try again.|I tried again.
I trust you.|I trusted you.
I volunteer.|I volunteered.
I walk here.|I walked here.
I want this.|I wanted this.
I be ashamed.|I was ashamed.
I be at home.|I was at home.
I be at work.|I was at work.
I be careful.|I was careful.
I be curious.|I was curious.
I be dancing.|I was dancing.
I be drugged.|I was drugged.
I be furious.|I was furious.
I be invited.|I was invited.
I be kidding.|I was kidding.
I be pleased.|I was pleased.
I be relaxed.|I was relaxed.
I be singing.|I was singing.
I be stunned.|I was stunned.
I be tempted.|I was tempted.
I be too shy.|I was too shy.
I be trapped.|I was trapped.
I be unarmed.|I was unarmed.
I be worried.|I was worried.
I ben't done.|I wasn't done.
I ben't home.|I wasn't home.
I go aboard.|I went aboard.
I go hiking.|I went hiking.
I go inside.|I went inside.
I work hard.|I worked hard.
I'll be go.|I'll be going.
I'll get lose.|I'll get lost.
I'm content.|I'm contented.
I'm convince.|I'm convinced.
I'm disgust.|I'm disgusted.
I'm exhaust.|I'm exhausted.
I'm intrigue.|I'm intrigued.
I'm listen.|I'm listening.
I'm motivate.|I'm motivated.
I'm not arm.|I'm not armed.
I'm not die.|I'm not dying.
I'm not go.|I'm not going.
I'm not lie.|I'm not lying.
I'm not tire.|I'm not tired.
I'm plaster.|I'm plastered.
I'm say no.|I'm saying no.
I'm survive.|I'm surviving.
I'm terrify.|I'm terrified.
I'm tire now.|I'm tired now.
I've finish.|I've finished.
I've get eyes.|I've got eyes.
Is he look?|Is he looking?
Is it damage?|Is it damaged?
Is it help?|Is it helping?
Is it rain?|Is it raining?
It come apart.|It came apart.
It get worse.|It gets worse.
It have snowed.|It had snowed.
It be a curse.|It is a curse.
It be no joke.|It is no joke.
It be snowing.|It is snowing.
It be the law.|It is the law.
It be too hot.|It is too hot.
It make sense.|It made sense.
It take time.|It takes time.
It be a gift.|It was a gift.
It be a mess.|It was a mess.
It be a test.|It was a test.
It be boring.|It was boring.
It be broken.|It was broken.
It be simple.|It was simple.
It be superb.|It was superb.
It ben't him.|It wasn't him.
It go viral.|It went viral.
It's all go.|It's all gone.
It's excite.|It's exciting.
It's occupy.|It's occupied.
It's steal.|It's stealing.
I’m fall.|I’m falling.
Life be crazy.|Life is crazy.
Life be short.|Life is short.
Life be sweet.|Life is sweet.
Love be blind.|Love is blind.
Luck be blind.|Luck is blind.
Man be mortal.|Man is mortal.
Mary be weird.|Mary is weird.
No, he don't.|No, he didn't.
Nobody get up.|Nobody got up.
Our team lose.|Our team lost.
Quit gamble.|Quit gambling.
Red be better.|Red is better.
She come last.|She came last.
She get angry.|She got angry.
She have twins.|She had twins.
She hat him.|She hated him.
She hire him.|She hired him.
She be French.|She is French.
She be a twin.|She is a twin.
She be active.|She is active.
She be crying.|She is crying.
She be gentle.|She is gentle.
She be strong.|She is strong.
She seem sad.|She seems sad.
She want him.|She wants him.
She be brave.|She was brave.
She be livid.|She was livid.
She be lying.|She was lying.
She be naive.|She was naive.
She go home.|She went home.
She's diet.|She's dieting.
Start run.|Start running.
Start write.|Start writing.
Stop frown.|Stop frowning.
Stop shoot.|Stop shooting.
Stop worry.|Stop worrying.
That be cool.|That was cool.
That be easy.|That was easy.
That be mean.|That was mean.
That be ours.|That was ours.
There be hope.|There is hope.
There you be.|There you are.
They all die.|They all died.
They be here.|They are here.
They cancel.|They canceled.
They embrace.|They embraced.
They say yes.|They said yes.
They save us.|They saved us.
They're arm.|They're armed.
They're die.|They're dying.
They're lie.|They're lying.
They're tire.|They're tired.
Thbe be Italy.|This is Italy.
Thbe be Japan.|This is Japan.
Thbe be a DVD.|This is a DVD.
Thbe be a dog.|This is a dog.
Thbe be a map.|This is a map.
Thbe be a pen.|This is a pen.
Thbe be a pun.|This is a pun.
Thbe be a wig.|This is a wig.
Thbe be awful.|This is awful.
Thbe be cheap.|This is cheap.
Thbe be crazy.|This is crazy.
Thbe be funny.|This is funny.
Thbe be great.|This is great.
Thbe be my CD.|This is my CD.
Thbe be silly.|This is silly.
Thbe be sweet.|This is sweet.
Thbe be weird.|This is weird.
Thbe be yours.|This is yours.
Time be money.|Time is money.
Tom get stuck.|Tom got stuck.
Tom have a dog.|Tom has a dog.
Tom hesitate.|Tom hesitated.
Tom be OK now.|Tom is OK now.
Tom be boring.|Tom is boring.
Tom be chubby.|Tom is chubby.
Tom be eating.|Tom is eating.
Tom be guilty.|Tom is guilty.
Tom be hiding.|Tom is hiding.
Tom be in bed.|Tom is in bed.
Tom be voting.|Tom is voting.
Tom be vulgar.|Tom is vulgar.
Tom just die.|Tom just died.
Tom lose hope.|Tom lost hope.
Tom miss it.|Tom missed it.
Tom walk in.|Tom walked in.
Tom be alive.|Tom was alive.
Tom be cruel.|Tom was cruel.
Tom be dying.|Tom was dying.
Tom be scary.|Tom was scary.
Tom be third.|Tom was third.
Tom be upset.|Tom was upset.
Tom go pale.|Tom went pale.
Tom's adopt.|Tom's adopted.
Tom's arrive.|Tom's arrived.
Tom's excite.|Tom's excited.
Tom's help.|Tom's helping.
Tom's work.|Tom's working.
Tom's wound.|Tom's wounded.
Was I snore?|Was I snoring?
We all agree.|We all agreed.
We be at war.|We are at war.
We be doomed.|We are doomed.
We miss you.|We missed you.
We take a cab.|We took a cab.
We want you.|We wanted you.
We be bored.|We were bored.
We be lucky.|We were lucky.
We be right.|We were right.
We're baffle.|We're baffled.
We're dance.|We're dancing.
We're diet.|We're dieting.
We're engage.|We're engaged.
We're fast.|We're fasting.
We're kid.|We're kidding.
We're shock.|We're shocked.
We're slosh.|We're sloshed.
We're smash.|We're smashed.
We're stall.|We're stalled.
We're starve.|We're starved.
We're stay.|We're staying.
We're stun.|We're stunned.
We're touch.|We're touched.
We're trap!|We're trapped!
We're trap.|We're trapped.
We're wait.|We're waiting.
We're win.|We're winning.
We're work.|We're working.
We've arrive.|We've arrived.
We've see it.|We've seen it.
What do I do?|What did I do?
What happen?|What happened?
What be a UFO?|What is a UFO?
Where be you?|Where are you?
Where be Mary?|Where is Mary?
Where be we?|Where were we?
Which be mine?|Which is mine?
Who hire you?|Who hired you?
Who be absent?|Who is absent?
Who say that?|Who said that?
Who want tea?|Who wants tea?
Who's diet?|Who's dieting?
Who's win?|Who's winning?
Whose be thbe?|Whose is this?
You be crazy.|You are crazy.
You be drunk!|You are drunk!
You be early.|You are early.
You be lying.|You are lying.
You be sharp.|You are sharp.
You be wrong.|You are wrong.
You need me.|You needed me.
You be mine.|You were mine.
You're bias.|You're biased.
You're load.|You're loaded.
You're lose.|You're losing.
You've fail.|You've failed.
Am I qualify?|Am I qualified?
Apples be red.|Apples are red.
Are we leave?|Are we leaving?
Are you come?|Are you coming?
Are you cry?|Are you crying?
Are you hire?|Are you hiring?
Autumn be here.|Autumn is here.
Both be alive.|Both are alive.
Cash be better.|Cash is better.
Cats be smart.|Cats are smart.
Change be good.|Change is good.
Fbehing be fun.|Fishing is fun.
Go get change.|Go get changed.
Guess who I be.|Guess who I am.
Have you eat?|Have you eaten?
He almost die.|He almost died.
He ask me to.|He asked me to.
He become rich.|He became rich.
He come by bus.|He came by bus.
He come by car.|He came by car.
He deceive me.|He deceived me.
He deserve it.|He deserved it.
He don't lie.|He doesn't lie.
He don't tan.|He doesn't tan.
He gaze at me.|He gazed at me.
He get the job.|He got the job.
He have a beard.|He has a beard.
He have a lunch.|He has a lunch.
He have a point.|He has a point.
He have a video.|He has a video.
He have changed.|He has changed.
He have left us.|He has left us.
He have no fear.|He has no fear.
He have to come.|He has to come.
He hat lying.|He hated lying.
He be American.|He is American.
He be Canadian.|He is Canadian.
He be Japanese.|He is Japanese.
He be a genius.|He is a genius.
He be a writer.|He is a writer.
He be an actor.|He is an actor.
He be bankrupt.|He is bankrupt.
He be in Tokyo.|He is in Tokyo.
He be my uncle.|He is my uncle.
He be outgoing.|He is outgoing.
He be powerful.|He is powerful.
He be well off.|He is well off.
He look back.|He looked back.
He look well.|He looked well.
He looks tire.|He looks tired.
He lose a book.|He lost a book.
He pass away.|He passed away.
He scold her.|He scolded her.
He seem angry.|He seems angry.
He seem happy.|He seems happy.
He seem tired.|He seems tired.
He sell fruit.|He sells fruit.
He slap her.|He slapped her.
He sell us out.|He sold us out.
He surrender.|He surrendered.
He trust you.|He trusted you.
He walk away.|He walked away.
He want to go.|He wants to go.
He be English.|He was English.
He be in pain.|He was in pain.
He be invited.|He was invited.
He be panting.|He was panting.
He be patient.|He was patient.
He be perfect.|He was perfect.
He be stunned.|He was stunned.
He go skiing.|He went skiing.
He go to bed.|He went to bed.
He work hard.|He worked hard.
He's not go.|He's not going.
Here come Tom.|Here comes Tom.
Here be a book.|Here is a book.
Here be my key.|Here is my key.
Here she come.|Here she comes.
His head ache.|His head ached.
How deep be it?|How deep is it?
How do I look?|How did I look?
How do it end?|How did it end?
How do you do?|How did you do?
How good be he?|How good is he?
How high be it?|How high is it?
How long be it?|How long is it?
How much be it?|How much is it?
How tall be he?|How tall is he?
How be Boston?|How was Boston?
How wide be it?|How wide is it?
How's it go?|How's it going?
I be Hungarian.|I am Hungarian.
I be a shy boy.|I am a shy boy.
I be a student.|I am a student.
I be a teacher.|I am a teacher.
I be a tourist.|I am a tourist.
I be after him.|I am after him.
I be an artist.|I am an artist.
I be exhausted.|I am exhausted.
I be in London.|I am in London.
I be in a spot.|I am in a spot.
I be not happy.|I am not happy.
I be off today.|I am off today.
I be too short.|I am too short.
I be very tall.|I am very tall.
I believe you.|I believed you.
I call ahead.|I called ahead.
I come for you.|I came for you.
I correct it.|I corrected it.
I decorate it.|I decorated it.
I do have fun.|I did have fun.
I do warn you.|I did warn you.
I don't argue.|I didn't argue.
I don't cheat.|I didn't cheat.
I don't do it.|I didn't do it.
I don't drive.|I didn't drive.
I don't flunk.|I didn't flunk.
I don't laugh.|I didn't laugh.
I don't sleep.|I didn't sleep.
I don't speak.|I didn't speak.
I feel bless.|I feel blessed.
I feel honor.|I feel honored.
I feel trap.|I feel trapped.
I felt cheat.|I felt cheated.
I felt excite.|I felt excited.
I follow him.|I followed him.
I follow you.|I followed you.
I give it away.|I gave it away.
I give it back.|I gave it back.
I give my word.|I gave my word.
I give up hope.|I gave up hope.
I get arrested.|I got arrested.
I get confused.|I got confused.
I get divorced.|I got divorced.
I get expelled.|I got expelled.
I get nauseous.|I got nauseous.
I grow up here.|I grew up here.
I have a stroke.|I had a stroke.
I have a vision.|I had a vision.
I have fun here.|I had fun here.
I have some fun.|I had some fun.
I have to do it.|I had to do it.
I hate dance.|I hate dancing.
I hate diet.|I hate dieting.
I hate work.|I hate working.
I hat school.|I hated school.
